name,neighborhood,borough,website,menu_url,notes,source
Due West,West Village,Manhattan,http://www.duewestnyc.com/,https://www.duewestnyc.com/menus/,Neighborhood bistro beef burger,pilot-100
Boucherie West Village,West Village,Manhattan,https://www.boucherieus.com/,,French steakhouse cheeseburger special,pilot-100
Skinny Louie West Village,West Village,Manhattan,https://www.skinnylouie.com/louiespot/westvillage,https://www.trycaviar.com/store/skinny-louie-new-york-40478391/,Smash-style Florida burger outpost,pilot-100
Emmett's on Grove,West Village,Manhattan,https://www.emmettsongrove.com/,https://www.emmettsongrove.com/menus/,Tavern beef burger on Grove,pilot-100
The Warren,West Village,Manhattan,http://thewarrennyc.com/,,"Pub beef burger, cozy spot",pilot-100
Westville Hudson,West Village,Manhattan,https://westville.com/,https://westville.com/wp-content/uploads/2024/09/DinnerMenu-4.17.24-FINAL.pdf,All-day American beef burger,pilot-100
Bus Stop Cafe,West Village,Manhattan,https://www.busstopcafe-nyc.com/,https://www.busstopcafe-nyc.com/eat,Diner-style West Village burger,pilot-100
Waverly Diner,West Village,Manhattan,unknown,https://postmates.com/store/waverly-diner/1DBNhFSdQQ6Pon1y0MGyiQ,Classic diner beef burger,pilot-100
Five Guys,West Village,Manhattan,https://restaurants.fiveguys.com/296-bleecker-st,,Chain customizable beef burger,pilot-100
St Tropez West Village,West Village,Manhattan,https://sttropezwinebar.com,https://st-tropez-west-village.popmenu.com/files/st-tropez-dinner-menu-2026-pdf.pdf,Wine bar beef burger,pilot-100
The Golden Swan,West Village,Manhattan,http://www.tgsnyc.com/,,Tavern dry-aged beef burger,pilot-100
Burgerhead,West Village,Manhattan,https://www.burgerhead.com/,,West Village burger bar specialist,pilot-100
Barrow Street Ale House,West Village,Manhattan,unknown,https://menupages.com/barrow-street-ale-house/15-barrow-st-new-york,Ale house pub burger,pilot-100
Hudson Hound,West Village,Manhattan,unknown,https://menucollectors.com/hudson-hound-10014-menu/,Irish bar beef burger,pilot-100
Shake Shack West Village,West Village,Manhattan,https://shakeshack.com/location/west-village-ny,https://postmates.com/store/shake-shack-west-village/yRfk0I6-Sdey3bUvG-IRTQ,Chain smash ShackBurger classic,pilot-100
The Lavaux,West Village,Manhattan,http://www.thelavauxwinebar.com/?y_source=1_MTAwMTM3MTUyOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,Wine bar beef burger,pilot-100
Cafe Cluny,West Village,Manhattan,http://www.cafecluny.com/,https://www.cafecluny.com/cafe-cluny-menu/,Neighborhood cafe beef burger,pilot-100
Jeffrey's Grocery,West Village,Manhattan,https://www.jeffreysgrocery.com/,https://www.jeffreysgrocery.com/menu/lunch-1/,"Market cafe burger, lunch favorite",pilot-100
The Spaniard,West Village,Manhattan,https://www.thespaniardnyc.com/,,Irish pub beef burger,pilot-100
White Horse Tavern,West Village,Manhattan,https://www.whitehorsetavern1880.com/,https://postmates.com/store/white-horse-tavern/rCCuGsCUQDeEGqmUiSz21Q,Historic tavern burger classic,pilot-100
Fiddlesticks Pub,West Village,Manhattan,unknown,https://menupages.com/fiddlesticks/54-greenwich-ave-new-york,Irish pub beef burger,pilot-100
Tavern on Jane,West Village,Manhattan,https://tavernonjane.com/,,Jane Street tavern burger,pilot-100
Hudson Clearwater,West Village,Manhattan,http://hudsonclearwater.com,http://hudsonclearwater.com/menus/brunch%20takeout.pdf,Farm-to-table beef burger,pilot-100
Wilfie & Nell,West Village,Manhattan,https://www.wilfieandnell.com,https://www.wilfieandnell.com/menu/dinner/,Irish gastropub beef burger,pilot-100
Smashed NYC West Village,West Village,Manhattan,http://www.smashednyc.com/,https://www.smashednyc.com/menu,Smash burger specialist spot,pilot-100
Fat Ronnie's Burger Bar NYC,West Village,Manhattan,https://fatronniesburgerbar.com/fatronniesburgerbarnyc-79l99x,,"Burger bar, late-night favorite",pilot-100
Burgers & Beer,West Village,Manhattan,https://burgersandbeernyc.com/,,Casual burgers and beer,pilot-100
Houston Hall,West Village,Manhattan,https://www.houstonhallny.com/,https://www.houstonhallny.com/menu/food-menu/,"Beer hall burger, Houston Street",pilot-100
Lume West Village,West Village,Manhattan,https://lumewestvillage.com/,https://lumewestvillage.com/s/Lume-West-Village-Dinner-Menu.pdf,Italian eatery beef burger,pilot-100
Smacking Burger,West Village,Manhattan,http://smackingburger.com/,https://www.doordash.com/store/smacking-burger-new-york-27978122/,Smash burger takeout specialist,pilot-100
The Noortwyck,West Village,Manhattan,http://www.thenoortwyck.com/,https://images.getbento.com/accounts/cadb1656ea10f187a24422843b7cf02b/media/k6CbxrOLQ6abgwjgFc2g_The%20Noortwyck%20Restaurant%20Week%20Summer%202026.pdf,"Dry-aged cheeseburger, Bleecker Street",pilot-100
Little Ruby's West Village,West Village,Manhattan,https://www.rubyscafe.com/location/west-village/,https://cititour.com/NYC_News/Little-Rubys-Cafe-is-a-Ray-of-Sunshine-in-the-West-Village/7754/print,Classic beef Bronte burger,pilot-100
The Standard Grill,West Village,Manhattan,https://www.thestandardgrill.com/the-standard-grill-new-york,,"Standard Burger, Meatpacking staple",pilot-100
Pastis,West Village,Manhattan,https://pastisnyc.com/,https://order.online/store/706319?slug=pastis-315375&pickup=true&hideModal=true&redirected=true,Smashed double cheeseburger favorite,pilot-100
The Happiest Hour,West Village,Manhattan,http://happiesthournyc.com/,,Happiest Burger smash classic,pilot-100
4 Charles Prime Rib,West Village,Manhattan,https://nycprimerib.com/,,"Double Wagyu cheeseburger, Charles Street",pilot-100
Jack & Charlie's No. 118,West Village,Manhattan,http://www.jackandcharlies118.com/,https://menucollectors.com/jack-charlies-no-118-10011-menu/,Prime-beef bacon cheeseburger,pilot-100
The Mary Lane,West Village,Manhattan,https://www.themarylanenyc.com/,https://www.themarylanenyc.com/menu/brunch/,"Angus burger, brunch and happy-hour",pilot-100
Bar Six,West Village,Manhattan,https://www.barsixnyc.com/,https://menupages.com/bar-six/502-6th-ave-new-york,Sixth Avenue cheeseburger pub,pilot-100
Employees Only,West Village,Manhattan,http://www.employeesonlynyc.com/,https://www.restaurantji.com/ny/new-york/employees-only-/,"Dry-aged beef burger, speakeasy bar",pilot-100
